Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:00,20:20,08h 20m,627.0,4 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 1378,AC MULTI AXLE,13:46,21:25,07h 39m,729.0,3 Seats available,2.5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,23:05,08h 50m,627.0,17 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,01:00,10h 00m,620.0,14 Seats available,4.0,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,23:45,08h 20m,729.0,28 Seats available,2.9,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:00,00:45,08h 45m,567.0,22 Seats available,3.5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 380,Swift Deluxe Non AC Air Bus (2+2),16:15,01:00,08h 45m,567.0,9 Seats available,4.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,02:15,09h 30m,640.0,17 Seats available,3.5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:00,04:30,09h 30m,640.0,33 Seats available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,03:45,07h 45m,473.0,17 Seats available,3.8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 1585,Swift Deluxe Non AC Air Bus (2+2),20:40,06:10,09h 30m,640.0,19 Seats available,3.2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 1586,Swift Deluxe Non AC Air Bus (2+2),21:30,06:55,09h 25m,640.0,28 Seats available,3.5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:10,07:35,09h 25m,640.0,13 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:30,06:00,07h 30m,627.0,1 Seat available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),23:00,09:40,10h 40m,469.0,17 Seats available,3.0,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),23:30,09:50,10h 20m,469.0,11 Seats available,3.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:40,10:00,10h 20m,627.0,30 Seats available,3.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,799.0,24 Seats available,4.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,1099.0,12 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,08h 30m,899.0,14 Seats available,4.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
AdBalaji Tourist,Volvo Multi-Axle A/C Semisleeper (2+2),23:00,07:30,08h 30m,800.0,38 Seats available,4.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
SAAM BUS,VE A/C Sleeper (2+1),21:45,06:45,09h 00m,786.0,17 Seats available,4.2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),22:15,06:30,08h 15m,750.0,17 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,899.0,31 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
