Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,06:15,06h 50m,INR 659,42 Seats available,"4.7
858",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:45,06:00,06h 15m,INR 819,42 Seats available,"4.6
1141",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,05:45,07h 00m,INR 809,42 Seats available,"4.6
916",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
AdYolo Bus,A/C Sleeper (2+1),22:40,04:59,06h 19m,INR 1520,25 Seats available,"4.6
180",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
FRESHBUS,Electric A/C Seater (2+2),23:05,05:35,06h 30m,630,34 Seats available,"4.7
458",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
FRESHBUS,Electric A/C Seater (2+2),05:20,12:05,06h 45m,500,36 Seats available,"4.7
385",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
FRESHBUS,Electric A/C Seater (2+2),11:40,19:20,07h 40m,500,38 Seats available,"4.7
350",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:10,05:30,07h 20m,INR 799,27 Seats available,"4.0
136",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
FRESHBUS,Electric A/C Seater (2+2),10:00,17:00,07h 00m,500,37 Seats available,"4.7
324",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
FRESHBUS,Electric A/C Seater (2+2),22:50,05:00,06h 10m,550,40 Seats available,"4.6
564",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
IntrCity SmartBus,AC Sleeper (2+1),23:45,06:00,06h 15m,INR 1469,30 Seats available,"4.8
173",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
FRESHBUS,Electric A/C Seater (2+2),21:50,03:55,06h 05m,550,36 Seats available,"4.5
548",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
NueGo,Electric A/C Seater (2+2),22:30,06:00,07h 30m,664,31 Seats available,"4.5
530",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
Sri Sanvi Tours and Travels,A/C Sleeper (2+1),23:25,05:17,05h 52m,1214,31 Seats available,"4.6
283",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
Sri Durga Malleswari Travels,A/C Sleeper (2+1),22:30,05:45,07h 15m,990,11 Seats available,"4.6
258",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
FRESHBUS,Electric A/C Seater (2+2),16:30,23:15,06h 45m,550,35 Seats available,"4.7
470",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),23:25,05:40,06h 15m,INR 929,34 Seats available,"4.5
400",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
Zingbus Plus,A/C Seater / Sleeper (2+1),22:50,05:10,06h 20m,845,27 Seats available,"4.4
723",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
IntrCity SmartBus,AC Sleeper (2+1),23:40,06:30,06h 50m,INR 1249,30 Seats available,"4.5
344",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
IntrCity SmartBus,AC Sleeper (2+1),23:10,05:35,06h 25m,INR 1419,28 Seats available,"4.5
339",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,06:10,06h 20m,INR 1169,33 Seats available,"4.5
332",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
NueGo,Electric A/C Seater (2+2),22:35,05:10,06h 35m,664,27 Seats available,"4.4
589",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
NueGo,A/C Seater (2+2),21:50,04:05,06h 15m,569,37 Seats available,"4.4
542",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
