Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Bihar state road transport corporation (BSRTC) - 146158,Non AC Seater (2+2),09:00,15:00,06h 00m,INR 285,27 Seats available,"3.3
30",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Mata Di,AC Seater (2+2),05:40,12:05,06h 25m,405,41 Seats available,3.7,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Mata Di,AC Seater (2+2),05:43,12:00,06h 17m,405,41 Seats available,"3.7
2",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Mata Di,AC Seater (2+2),05:45,11:50,06h 05m,405,41 Seats available,3.7,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Mata Di,AC Seater (2+2),05:47,12:03,06h 16m,405,41 Seats available,3.7,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,05:00,06h 40m,495,54 Seats available,"3.6
47",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,04:00,05h 20m,INR 450,28 Seats available,"3.4
19",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Saurabh Travels,A/C Seater Push Back (2+2),07:00,12:30,05h 30m,INR 450,42 Seats available,1.0,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Saurabh Travels,A/C Seater Push Back (2+2),07:12,12:30,05h 18m,INR 450,42 Seats available,1.0,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Saurabh Travels,A/C Seater Push Back (2+2),07:20,12:30,05h 10m,INR 450,42 Seats available,1.0,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Saurabh Travels,A/C Seater Push Back (2+2),07:25,12:45,05h 20m,INR 450,42 Seats available,1.0,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Saurabh Travels,A/C Seater Push Back (2+2),07:32,12:50,05h 18m,INR 450,42 Seats available,1.0,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Saurabh Travels,A/C Seater Push Back (2+2),07:37,13:00,05h 23m,INR 450,42 Seats available,1.0,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Saurabh Travels,A/C Seater Push Back (2+2),08:12,13:30,05h 18m,INR 450,42 Seats available,1.0,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Saurabh Travels,A/C Seater Push Back (2+2),08:41,13:50,05h 09m,INR 450,42 Seats available,1.0,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),09:30,16:00,06h 30m,450,60 Seats available,"2.4
15",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Vivek Travels,A/C Seater (2+2),13:25,20:25,07h 00m,INR 450,45 Seats available,1.0,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Vivek Travels,A/C Seater / Sleeper (2+2),13:30,20:30,07h 00m,INR 400,72 Seats available,"1.0
2",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,02:00,05h 32m,INR 500,6 Seats available,"2.0
6",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,03:40,06h 00m,INR 350,51 Seats available,"2.8
10",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,03:15,04h 55m,495,54 Seats available,3.0,https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),09:30,14:00,04h 30m,405,60 Seats available,"2.0
6",https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
Saurabh Travels,A/C Seater Push Back (2+2),10:30,14:00,03h 30m,INR 350,42 Seats available,1.0,https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),12:15,16:15,04h 00m,INR 220,35 Seats available,2.2,https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
