Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
NueGo,A/C Seater (2+2),00:30,06:05,05h 35m,445,8 Seats available,"4.1
441",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,A/C Seater (2+2),06:00,11:15,05h 15m,472,23 Seats available,"4.0
300",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),06:30,11:30,05h 00m,INR 499,7 Seats available,"3.4
34",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,A/C Seater (2+2),07:00,12:15,05h 15m,486,25 Seats available,"4.0
304",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,Electric A/C Seater (2+2),07:20,12:55,05h 35m,390,24 Seats available,"3.9
9",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,A/C Seater (2+2),08:00,12:55,04h 55m,562,22 Seats available,"4.1
303",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
Khurana Bus Service,Volvo A/C (2+2),08:55,14:20,05h 25m,468,30 Seats available,"3.9
71",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
TANISHQ HOLIDAYS TOUR,Volvo A/C Semi Sleeper (2+2),19:30,23:30,04h 00m,679,13 Seats available,3.0,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
Hari Das Tour &Travels,Bharat Benz A/C Semi Sleeper (2+2),08:45,15:30,06h 45m,INR 599,40 Seats available,3.5,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
City Land Travels,Volvo A/C Semi Sleeper (2+2),09:15,14:45,05h 30m,720,20 Seats available,"4.2
85",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,A/C Seater (2+2),09:00,14:25,05h 25m,468,35 Seats available,"4.0
266",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
FlixBus,AC Seater (2+2),09:00,14:40,05h 40m,INR 458.04,16 Seats available,"3.6
180",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
City Land Travels,Volvo A/C Semi Sleeper (2+2),09:40,15:00,05h 20m,709,17 Seats available,"4.2
166",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
City Land Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),19:25,01:05,05h 40m,765,17 Seats available,"3.4
4",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
Orbit Aviation Pvt Ltd,Mercedes Multi-Axle Semi Sleeper (2+2),12:55,18:55,06h 00m,399,36 Seats available,"3.9
16",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
Bedi Travels,Volvo 9600 A/C Semi Sleeper (2+2),20:15,01:45,05h 30m,648,5 Seats available,4.8,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
PAL Travel Lines,Scania A/C Semi Sleeper (2+2),20:35,01:05,04h 30m,674,31 Seats available,3.0,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,A/C Seater (2+2),10:00,15:05,05h 05m,491,25 Seats available,"4.2
309",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,Electric A/C Seater/Sleeper (2+1),11:00,16:25,05h 25m,418,13 Seats available,"4.6
74",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,A/C Seater (2+2),12:00,17:05,05h 05m,468,35 Seats available,"3.9
355",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
City Land Travels,Volvo A/C Semi Sleeper (2+2),15:30,21:30,06h 00m,583,29 Seats available,3.5,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,Electric A/C Seater/Sleeper (2+1),13:00,18:25,05h 25m,399,24 Seats available,"4.0
113",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,A/C Seater (2+2),14:30,19:35,05h 05m,468,37 Seats available,"3.8
386",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
City Land Travels,Volvo A/C Semi Sleeper (2+2),17:00,23:00,06h 00m,799,24 Seats available,"3.8
5",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
NueGo,A/C Seater (2+2),15:30,20:35,05h 05m,468,40 Seats available,"4.0
375",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
FlixBus,AC Seater (2+2),16:00,22:10,06h 10m,INR 225,33 Seats available,"4.4
201",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
City Land Travels,Volvo A/C Semi Sleeper (2+2),19:55,00:40,04h 45m,611,19 Seats available,"4.3
12",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
