Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Kadamba Transport Corporation Limited (KTCL) - 99716,AC Seater (2+2),10:00,11:45,01h 45m,INR 200,41 Seats available,"4.3
17",https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Calangute (goa) to Goa Airport
Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater (2+2),15:30,17:15,01h 45m,INR 200,41 Seats available,"3.7
18",https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Calangute (goa) to Goa Airport
Kadamba Transport Corporation Limited (KTCL) - 99719,AC Seater (2+2),18:30,20:00,01h 30m,INR 200,42 Seats available,"4.6
26",https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Calangute (goa) to Goa Airport
Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:45,10:00,12h 15m,INR 675,28 Seats available,"3.1
44",https://www.redbus.in/bus-tickets/sangola-to-goa,Sangola (Solapur) to Goa
Humsafar Travels,Bharat Benz A/C Sleeper (2+1),23:59,08:00,08h 01m,INR 2250,22 Seats available,3.8,https://www.redbus.in/bus-tickets/sangola-to-goa,Sangola (Solapur) to Goa
New Shivbaba Tours And Travels,AC Sleeper (2+1),20:30,06:00,09h 30m,1424,30 Seats available,"2.1
7",https://www.redbus.in/bus-tickets/sangola-to-goa,Sangola (Solapur) to Goa
Kadamba Transport Corporation Limited (KTCL) - 159017,A/C Seater (2+3),06:00,07:15,01h 15m,INR 200,47 Seats available,"4.2
15",https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport,Calangute (goa) to Mopa Airport
Kadamba Transport Corporation Limited (KTCL) - 159018,A/C Seater (2+3),07:00,08:15,01h 15m,INR 200,47 Seats available,"2.9
7",https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport,Calangute (goa) to Mopa Airport
Kadamba Transport Corporation Limited (KTCL) - 159019,A/C Seater (2+3),10:00,11:15,01h 15m,INR 200,47 Seats available,"3.7
15",https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport,Calangute (goa) to Mopa Airport
Kadamba Transport Corporation Limited (KTCL) - 159065,A/C Seater (2+3),11:45,13:00,01h 15m,INR 200,47 Seats available,"2.9
23",https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport,Calangute (goa) to Mopa Airport
Kadamba Transport Corporation Limited (KTCL) - 6028,Non AC Seater 2+2,08:00,10:30,02h 30m,INR 140,27 Seats available,"3.6
14",https://www.redbus.in/bus-tickets/marcel-to-belagavi,Marcel to Belagavi
Kadamba Transport Corporation Limited (KTCL) - 6028,Non AC Seater 2+2,07:30,10:30,03h 00m,INR 150,24 Seats available,"3.6
27",https://www.redbus.in/bus-tickets/ponda-to-belagavi,Ponda to Belagavi
Kadamba Transport Corporation Limited (KTCL) - 6020,Non AC Seater 2+2,16:00,18:45,02h 45m,INR 140,5 Seats available,"3.6
9",https://www.redbus.in/bus-tickets/belagavi-to-marcel,Belagavi to Marcel
Kadamba Transport Corporation Limited (KTCL) - 6020,Non AC Seater 2+2,16:00,19:15,03h 15m,INR 150,4 Seats available,"4.0
28",https://www.redbus.in/bus-tickets/belagavi-to-ponda,Belagavi to Ponda
Kadamba Transport Corporation Limited (KTCL) - 99716,AC Seater (2+2),10:31,11:45,01h 14m,INR 150,41 Seats available,3.6,https://www.redbus.in/bus-tickets/panaji-to-goa-airport,Panaji to Goa Airport
Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater (2+2),16:01,17:15,01h 14m,INR 150,41 Seats available,"4.3
4",https://www.redbus.in/bus-tickets/panaji-to-goa-airport,Panaji to Goa Airport
Kadamba Transport Corporation Limited (KTCL) - 99719,AC Seater (2+2),19:00,20:00,01h 00m,INR 150,40 Seats available,3.6,https://www.redbus.in/bus-tickets/panaji-to-goa-airport,Panaji to Goa Airport
