Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
RSRTC - 170039,Express Non AC Seater 2+3,08:20,15:00,06h 40m,INR 436,42 Seats available,3.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06:40,06h 50m,INR 956,31 Seats available,"4.7
224",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:50,05:40,06h 50m,INR 1179,32 Seats available,"4.8
92",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
AdGolden Temple Volvo Bus Service,A/C Seater / Sleeper (2+2),01:40,07:55,06h 15m,INR 811,31 Seats available,"4.7
10",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,06:05,06h 10m,INR 859,36 Seats available,"4.7
105",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,04:18,05h 51m,INR 970,25 Seats available,"4.6
483",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),00:10,06:15,06h 05m,INR 479,32 Seats available,"4.5
120",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
AdArmaan Tour & Travels,A/C Seater / Sleeper (2+1),23:00,05:30,06h 30m,INR 529,48 Seats available,"4.5
12",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Laxmi holidays,VE A/C Sleeper (2+1),23:55,06:45,06h 50m,INR 1045,30 Seats available,"4.4
373",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),00:50,06:40,05h 50m,INR 479,36 Seats available,"4.6
72",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
NueGo,Electric A/C Seater (2+2),23:15,05:05,05h 50m,INR 468,34 Seats available,"4.0
317",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
New Navyug Travels,A/C Sleeper (2+1),23:00,05:30,06h 30m,INR 999,28 Seats available,"4.4
65",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),02:30,10:00,07h 30m,INR 928,32 Seats available,"4.6
47",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
NueGo,Electric A/C Seater (2+2),18:00,23:50,05h 50m,INR 487,26 Seats available,"3.2
266",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
NueGo,Electric A/C Seater (2+2),07:00,12:50,05h 50m,INR 627,22 Seats available,"3.2
220",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:25,05:20,05h 55m,INR 1099,10 Seats available,"3.8
55",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
IntrCity SmartBus,A/C Seater / Sleeper (2+1),00:00,06:15,06h 15m,INR 649,30 Seats available,"4.6
23",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Yolo Bus,VE A/C Seater / Sleeper (2+1),00:41,06:16,05h 35m,INR 510,18 Seats available,"4.8
12",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
NueGo,Electric A/C Seater (2+2),13:00,18:50,05h 50m,INR 502,34 Seats available,"2.7
329",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:58,06:20,06h 22m,INR 999,37 Seats available,"3.8
25",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),00:50,06:30,05h 40m,INR 599,30 Seats available,"4.4
11",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
NueGo,Electric A/C Seater (2+2),00:05,05:55,05h 50m,INR 468,36 Seats available,"3.5
194",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Classic Travels,A/C Seater / Sleeper (2+2),23:55,06:55,07h 00m,INR 389,38 Seats available,"2.5
113",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),00:15,06:30,06h 15m,INR 479,32 Seats available,"4.2
11",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:58,06:05,06h 07m,INR 999,33 Seats available,"5.0
4",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),00:05,06:25,06h 20m,INR 479,30 Seats available,"4.1
9",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
IntrCity SmartBus,A/C Seater / Sleeper (2+1),01:35,07:15,05h 40m,INR 489,32 Seats available,"5.0
4",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
ADTC tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:55,05:15,05h 20m,INR 799,23 Seats available,"3.9
11",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:30,05:30,06h 00m,INR 1099,15 Seats available,"3.3
19",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),23:05,05:15,06h 10m,INR 1239,37 Seats available,"3.8
10",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Zingbus Plus,A/C Sleeper (2+1),03:45,10:15,06h 30m,INR 1352,29 Seats available,"3.4
11",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Muskan Tour And Travels private Limited,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:50,05:30,05h 40m,INR 999,43 Seats available,"4.3
4",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:59,06:30,06h 31m,INR 999,32 Seats available,"3.1
9",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
ADTC tour and Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:40,05:10,05h 30m,INR 899,36 Seats available,"3.5
5",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:58,06:50,06h 52m,INR 999,35 Seats available,"1.8
5",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
NueGo,Electric A/C Seater (2+2),11:00,16:50,05h 50m,INR 470,20 Seats available,"3.2
298",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Golden Temple Volvo Bus Service,A/C Seater / Sleeper (2+1),01:10,07:20,06h 10m,INR 886,38 Seats available,4.7,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
FlixBus,Bharat Benz A/C Sleeper (2+1),05:00,11:20,06h 20m,INR 795.54,12 Seats available,"4.1
41",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Bhawani Travels,A/C Seater / Sleeper (2+2),23:59,06:10,06h 11m,INR 888,3 Seats available,3.8,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Armaan Tour & Travels,A/C Seater / Sleeper (2+1),22:50,06:00,07h 10m,INR 599,47 Seats available,"3.6
52",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
K.S Travels,A/C Semi Sleeper / Sleeper (2+2),00:25,06:30,06h 05m,INR 700,52 Seats available,3.4,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
FlixBus,Bharat Benz A/C Sleeper (2+1),00:30,07:00,06h 30m,INR 872.32,8 Seats available,"4.0
16",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,06:10,06h 20m,INR 909,36 Seats available,"4.2
12",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Classic Travels,A/C Seater / Sleeper (2+2),23:30,06:30,07h 00m,INR 389,36 Seats available,"2.3
128",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Deltin Travels Pvt Ltd,Bharat Benz A/C Seater /Sleeper (2+1),22:00,05:00,07h 00m,INR 900,27 Seats available,"4.7
5",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
FlixBus,Bharat Benz A/C Sleeper (2+1),02:30,09:05,06h 35m,INR 394.64,12 Seats available,"4.0
8",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Banjara Satguru Travels,A/C Seater / Sleeper (2+1),01:30,06:25,04h 55m,INR 699,37 Seats available,3.0,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Deltin Travels Pvt Ltd,Bharat Benz A/C Seater /Sleeper (2+1),21:50,04:40,06h 50m,INR 800,25 Seats available,"3.6
4",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Orbit Aviation Pvt Ltd,Mercedes Multi-Axle Semi Sleeper (2+2),20:40,04:00,07h 20m,INR 749,49 Seats available,"1.3
6",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Vijay Tour and Travels,Bharat Benz A/C Sleeper (2+1),17:50,01:30,07h 40m,INR 1500,33 Seats available,"1.7
6",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Travel Point,A/C Seater / Sleeper (2+2),23:25,05:20,05h 55m,INR 999,50 Seats available,"1.3
5",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),07:29,15:00,07h 31m,INR 3300,39 Seats available,4.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),19:29,03:00,07h 31m,INR 3300,40 Seats available,4.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),05:29,13:00,07h 31m,INR 3300,49 Seats available,4.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),13:29,21:00,07h 31m,INR 3300,29 Seats available,4.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),03:29,11:00,07h 31m,INR 3300,43 Seats available,4.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),01:28,08:59,07h 31m,INR 3850,35 Seats available,4.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),13:29,21:00,07h 31m,INR 3850,11 Seats available,4.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),15:29,23:00,07h 31m,INR 3300,38 Seats available,4.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
