Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
VSR Tours and Travels,A/C Sleeper (2+1),00:14,06:00,05h 46m,549,7 Seats available,4.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),00:40,05:00,04h 20m,351,1 Seat available,4.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),00:40,06:30,05h 50m,INR 780,3 Seats available,"3.5
4",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,A/C Sleeper (2+1),00:50,05:30,04h 40m,531,8 Seats available,4.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Mythri Tours And Travels,A/C Sleeper (2+1),01:30,06:30,05h 00m,699,36 Seats available,"4.8
4",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Sai Balaji Travels,A/C Sleeper (2+1),01:30,05:00,03h 30m,INR 649,10 Seats available,3.9,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Rama Travels,A/C Seater / Sleeper (2+1),01:30,06:45,05h 15m,INR 555,16 Seats available,"4.1
4",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
DMR Travels,A/C Sleeper (2+1),02:00,05:30,03h 30m,INR 650,9 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Krishna Travels,Volvo Multi-Axle A/C Sleeper (2+1),02:00,06:00,04h 00m,INR 800,14 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Mahadevv travels,Non A/C Seater / Sleeper (2+1),02:20,05:30,03h 10m,INR 399,24 Seats available,3.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Siri Tours and Travels,A/C Seater / Sleeper (2+1),02:29,07:29,05h 00m,INR 450,22 Seats available,3.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),04:00,07:30,03h 30m,INR 600,13 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
SVN TOURS & TRAVELS,A/C Semi Sleeper / Sleeper (2+1),06:00,11:20,05h 20m,INR 700,25 Seats available,3.1,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
SVN TOURS & TRAVELS,A/C Semi Sleeper / Sleeper (2+1),08:05,11:00,02h 55m,INR 600,18 Seats available,3.1,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Orange Tours And Travels,A/C Sleeper (2+1),17:30,21:50,04h 20m,INR 700,28 Seats available,"3.0
35",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05:00,05h 20m,INR 410,37 Seats available,"3.1
12",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04:00,04h 20m,494,25 Seats available,"4.5
12",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 450,29 Seats available,"3.5
11",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,A/C Seater / Sleeper (2+1),23:58,05:00,05h 02m,INR 510,31 Seats available,3.0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
SAIRAJ TRAVELS,Non A/C Seater / Sleeper (2+1),23:59,06:15,06h 16m,INR 500,24 Seats available,4.2,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),23:59,06:10,06h 11m,INR 500,25 Seats available,"3.1
7",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:59,06:00,06h 01m,INR 580,28 Seats available,"4.7
16",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,INR 470,32 Seats available,"3.6
12",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
SAIRAJ TRAVELS,A/C Sleeper (2+1),23:59,05:30,05h 31m,INR 750,22 Seats available,"5.0
4",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,A/C Sleeper (2+1),23:59,05:00,05h 01m,711,29 Seats available,4.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,INR 470,19 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
BSR Tours And Travels,A/C Sleeper (2+1),23:59,06:00,06h 01m,INR 780,15 Seats available,"4.6
10",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,441,30 Seats available,4.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),00:30,05:00,04h 30m,INR 600,21 Seats available,"3.4
16",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),00:30,05:30,05h 00m,INR 500,32 Seats available,"3.1
4",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Mozo travels,A/C Seater / Sleeper (2+1),01:30,06:00,04h 30m,INR 599,30 Seats available,"4.4
4",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Morning Star Travels,A/C Sleeper (2+1),00:30,04:45,04h 15m,INR 600,6 Seats available,1.3,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Morning Star Travels,A/C Sleeper (2+1),01:00,04:35,03h 35m,INR 600,1 Seat available,"1.3
4",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sai Krishna Bus Service,NON AC Seater / Sleeper 2+1,01:00,05:15,04h 15m,744,42 Seats available,2.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Morning Star Travels,Scania AC Multi Axle Sleeper (2+1),18:00,21:45,03h 45m,INR 690,17 Seats available,1.3,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),23:55,05:25,05h 30m,INR 450,27 Seats available,"2.6
7",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),00:40,05:00,04h 20m,INR 750,30 Seats available,"2.1
11",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
RRR Travels,A/C Sleeper (2+1),23:50,05:30,05h 40m,INR 900,26 Seats available,"4.7
39",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
MAHABAHUSRIKVRTRAVELS,A/C Seater / Sleeper (2+1),02:00,06:35,04h 35m,990,38 Seats available,3.4,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
SRI VEERANJANEYA TOURS AND TRAVELS,NON A/C Semi Sleeper (2+2),05:00,06:00,01h 00m,INR 3000,15 Seats available,2.9,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
FRESHBUS,Electric A/C Seater (2+2),05:50,12:25,06h 35m,575,19 Seats available,"4.7
397",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),10:25,17:55,07h 30m,349,32 Seats available,"4.7
359",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
